InvoiceNo,ItemNo,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
IV2101104,I0060014,TEST 4224,6,07/04/2021," 12,240.00 ",CUS050
IV2102100,I00001904,TEST 4225,200,07/04/2021, 145.00 ,CUS006
IV2102100,I00001905,TEST 4226,480,07/04/2021, 115.00 ,CUS006
IV2103112,I0010021,TEST 4227,128,07/04/2021, 700.00 ,CUS01
IV2104036,I0030006,TEST 4228,600,07/04/2021, 50.00 ,CUS054
IV2104037,I0060007,TEST 4229,3,07/04/2021," 2,100.00 ",CUS136
IV2104037,I0020005,TEST 4230,3,07/04/2021," 2,000.00 ",CUS136
IV2104037,I0060005,TEST 4231,3,07/04/2021," 4,800.00 ",CUS136
IV2104039,I00005085,TEST 4232,200,07/04/2021, 196.00 ,CUS042
IV2104050,I0110009,TEST 4233,500,07/04/2021, 45.00 ,CUS169
IV2104052,I0110011,TEST 4234,3000,07/04/2021, 25.00 ,CUS024
IV2104054,I0070023,TEST 4235,2,07/04/2021," 29,200.00 ",CUS075
IV2104054,I0070024,TEST 4236,2,07/04/2021," 7,900.00 ",CUS075
IV2104054,I00005700,TEST 4237,2,07/04/2021," 54,500.00 ",CUS075
IV2104054,I0030485,TEST 4238,2,07/04/2021," 16,500.00 ",CUS075
IV2104054,I0060050,TEST 4239,4,07/04/2021," 15,000.00 ",CUS075
IV2104055,I0070023,TEST 4240,2,07/04/2021," 26,280.00 ",CUS075
IV2104055,I0070024,TEST 4241,2,07/04/2021," 7,110.00 ",CUS075
IV2104055,I00005700,TEST 4242,2,07/04/2021," 49,050.00 ",CUS075
IV2104055,I0030485,TEST 4243,2,07/04/2021," 14,850.00 ",CUS075
IV2104055,I0060050,TEST 4244,4,07/04/2021," 13,500.00 ",CUS075
IV2101244,I0010071,TEST 4245,48,08/04/2021, 750.00 ,CUS133
IV2101246,I0010014,TEST 4246,24,08/04/2021," 1,200.00 ",CUS133
IV2101248,I0010039,TEST 4247,96,08/04/2021, 750.00 ,CUS133
IV2101249,I0010087,TEST 4248,36,08/04/2021," 1,450.00 ",CUS133
IV2102025,I0010006,TEST 4249,1,08/04/2021," 22,500.00 ",CUS002
IV2102255,I0030006,TEST 4250,100,08/04/2021, 47.00 ,CUS004
IV2104009,I0060006,TEST 4251,3,08/04/2021," 5,800.00 ",CUS133
IV2104042,I0160001,TEST 4252,125,08/04/2021, 18.00 ,CUS007
IV2104058,I0160001,TEST 4253,50,08/04/2021, 18.00 ,CUS007
IV2104059,I0160001,TEST 4254,200,08/04/2021, 18.00 ,CUS007
IV2104061,I0160001,TEST 4255,1000,08/04/2021, 18.00 ,CUS006
IV2104069,I0080219,TEST 4256,1,08/04/2021," 69,350.00 ",CUS004
IV2104073,I0160001,TEST 4257,400,08/04/2021, 18.00 ,CUS36
IV2104074,I0080128,TEST 4258,1,08/04/2021," 120,000.00 ",CUS012
IV2103264,I0110007,TEST 4259,1000,09/04/2021, 42.00 ,CUS104
IV2103285,I0110007,TEST 4260,500,09/04/2021, 42.00 ,CUS067
IV2103285,I0110005,TEST 4261,500,09/04/2021, 42.00 ,CUS067
IV2104080,I00005149,TEST 4262,1,09/04/2021," 85,500.00 ",CUS001
IV2104084,I00006022,TEST 4263,1,09/04/2021," 22,800.00 ",CUS001
IV2104084,I00006023,TEST 4264,1,09/04/2021," 13,700.00 ",CUS001
IV2104084,I0060042,TEST 4265,1,09/04/2021," 5,100.00 ",CUS001
IV2104084,I0030023,TEST 4266,1,09/04/2021," 1,000.00 ",CUS001
IV2104084,I00002055,TEST 4267,1,09/04/2021, 900.00 ,CUS001
IV2104084,I0030024,TEST 4268,1,09/04/2021," 2,900.00 ",CUS001
IV2104084,I00004406,TEST 4269,2,09/04/2021," 3,600.00 ",CUS001
IV2104084,I00003158,TEST 4270,2,09/04/2021," 2,500.00 ",CUS001
IV2104085,I0160001,TEST 4271,250,09/04/2021, 18.00 ,CUS005
IV2104087,I0020029,TEST 4272,1,09/04/2021," 105,000.00 ",CUS022
IV2104088,I0030039,TEST 4273,3,09/04/2021," 32,000.00 ",CUS055
IV2011005,I0010042,TEST 4274,10,12/04/2021," 18,500.00 ",CUS029
IV2011005,I0010043,TEST 4275,10,12/04/2021," 15,500.00 ",CUS029
IV2011005,I0010044,TEST 4276,10,12/04/2021," 11,500.00 ",CUS029
IV2011028,I00006211,TEST 4277,1,12/04/2021," 186,000.00 ",CUS003
IV2012039,I0030022,TEST 4278,3,12/04/2021," 75,600.00 ",CUS003
IV2012040,I0010037,TEST 4279,2000,12/04/2021," 1,130.00 ",CUS004
IV2012066,IT0030002,TEST 4280,3,12/04/2021," 229,500.00 ",CUS003
IV2012096,I0080020,TEST 4281,1,12/04/2021," 34,800.00 ",CUS004
IV2012103,I0090044,TEST 4282,2,12/04/2021," 161,500.00 ",CUS003
IV2012225,I0010111,TEST 4283,2,12/04/2021," 77,400.00 ",CUS01
IV2012225,I0020019,TEST 4284,2,12/04/2021," 73,000.00 ",CUS01
IV2101028,I0010090,TEST 4285,2,12/04/2021," 11,200.00 ",CUS018
IV2101030,I00004602,TEST 4286,12,12/04/2021, 500.00 ,CUS005
IV2101030,I0010013,TEST 4287,2,12/04/2021," 3,100.00 ",CUS005
IV2101030,I0010014,TEST 4288,2,12/04/2021," 2,900.00 ",CUS005
IV2101030,I0010267,TEST 4289,1,12/04/2021," 4,500.00 ",CUS005
IV2101030,I0010266,TEST 4290,1,12/04/2021," 6,700.00 ",CUS005
IV2101030,I0010439,TEST 4291,1,12/04/2021," 7,000.00 ",CUS005
IV2101033,I00004629,TEST 4292,2,12/04/2021," 7,000.00 ",CUS002
IV2101033,I00004630,TEST 4293,2,12/04/2021," 11,000.00 ",CUS002
IV2101034,I0010080,TEST 4294,3,12/04/2021," 1,200.00 ",CUS002
IV2101034,I0020009,TEST 4295,3,12/04/2021, 300.00 ,CUS002
IV2101034,I0010003,TEST 4296,3,12/04/2021, 800.00 ,CUS002
IV2101044,I0010782,TEST 4297,4,12/04/2021," 1,800.00 ",CUS018
IV2101056,I0020034,TEST 4298,2,12/04/2021," 16,625.00 ",CUS005
IV2101057,I0010505,TEST 4299,1,12/04/2021," 115,000.00 ",CUS005
IV2101057,I0020007,TEST 4300,18,12/04/2021, 500.00 ,CUS005
IV2101057,I00005413,TEST 4301,2,12/04/2021," 8,500.00 ",CUS005
IV2101057,I00005414,TEST 4302,1,12/04/2021," 7,500.00 ",CUS005
IV2101090,I0040126,TEST 4303,2,12/04/2021," 28,500.00 ",CUS001
IV2101094,I0040008,TEST 4304,2,12/04/2021," 21,000.00 ",CUS001
IV2101096,I0040016,TEST 4305,3,12/04/2021," 15,600.00 ",CUS001
IV2101107,I00000588,TEST 4306,1,12/04/2021," 156,240.00 ",CUS001
IV2101129,I0090001,TEST 4307,6,12/04/2021," 3,500.00 ",CUS001
IV2101130,I0070013,TEST 4308,1,12/04/2021," 112,500.00 ",CUS001
IV2101137,I0110004,TEST 4309,1,12/04/2021," 49,400.00 ",CUS025
IV2101166,I0040032,TEST 4310,1,12/04/2021," 14,900.00 ",CUS001
IV2101166,I0040043,TEST 4311,1,12/04/2021," 76,000.00 ",CUS001
IV2101166,I00005480,TEST 4312,1,12/04/2021," 5,800.00 ",CUS001
IV2101233,I0040032,TEST 4313,1,12/04/2021," 14,900.00 ",CUS001
IV2101233,I0040043,TEST 4314,1,12/04/2021," 76,000.00 ",CUS001
IV2101241,I00005016,TEST 4315,1,12/04/2021," 2,200.00 ",CUS022
IV2101241,I00005014,TEST 4316,2,12/04/2021, 250.00 ,CUS022
IV2101241,I0030045,TEST 4317,1,12/04/2021," 1,500.00 ",CUS022
IV2101262,I00000624,TEST 4318,4,12/04/2021," 27,000.00 ",CUS005
IV2101262,I0050001,TEST 4319,6,12/04/2021," 23,000.00 ",CUS005
IV2101262,I0020003,TEST 4320,10,12/04/2021, 100.00 ,CUS005
IV2101262,I0020014,TEST 4321,10,12/04/2021, 160.00 ,CUS005
IV2101281,I00005509,TEST 4322,1,12/04/2021," 7,800.00 ",CUS025
IV2102026,I0010020,TEST 4323,12,12/04/2021," 1,200.00 ",CUS013
IV2102027,I0010003,TEST 4324,45,12/04/2021," 12,000.00 ",CUS013
IV2102028,I0010012,TEST 4325,36,12/04/2021," 4,200.00 ",CUS013
IV2102029,I00014032,TEST 4326,1,12/04/2021," 56,000.00 ",CUS013
IV2102034,I00005821,TEST 4327,1,12/04/2021," 10,000.00 ",CUS002
IV2102047,I0020002,TEST 4328,20,12/04/2021, 70.00 ,CUS005
IV2102106,I0020007,TEST 4329,10,12/04/2021, 250.00 ,CUS005
IV2102106,I0010001,TEST 4330,20,12/04/2021, 80.00 ,CUS005
IV2102118,I0070013,TEST 4331,1,12/04/2021," 112,500.00 ",CUS001
IV2102130,I00014151,TEST 4332,1,12/04/2021," 33,000.00 ",CUS006
IV2102148,I0020009,TEST 4333,2,12/04/2021, 350.00 ,CUS007
IV2102215,I0060004,TEST 4334,3,12/04/2021," 2,100.00 ",CUS007
IV2102215,I0020005,TEST 4335,3,12/04/2021," 2,000.00 ",CUS007
IV2102215,I0060012,TEST 4336,2,12/04/2021," 3,100.00 ",CUS007
IV2103157,I00002327,TEST 4337,2,12/04/2021," 3,783.00 ",CUS024
IV2103166,I0110011,TEST 4338,3000,12/04/2021, 25.00 ,CUS024
IV2103173,I0160001,TEST 4339,300,12/04/2021, 15.00 ,CUS006
IV2103189,I0110005,TEST 4340,400,12/04/2021, 48.00 ,CUS006
IV2103189,I0050001,TEST 4341,150,12/04/2021, 45.00 ,CUS006
IV2103219,I0030049,TEST 4342,20,12/04/2021, 240.00 ,CUS006
IV2103302,I00002930,TEST 4343,100,12/04/2021, 300.00 ,CUS155
IV2103330,I0010015,TEST 4344,4,12/04/2021," 9,900.00 ",CUS002
IV2103336,I0030117,TEST 4345,2,12/04/2021," 3,500.00 ",CUS007
IV2103343,I0010574,TEST 4346,3,12/04/2021," 1,900.00 ",CUS007
IV2103343,I0010575,TEST 4347,3,12/04/2021," 5,300.00 ",CUS007
IV2103354,I0110030,TEST 4348,100,12/04/2021, 252.20 ,CUS009
IV2103354,I0110030,TEST 4349,60,12/04/2021, 252.20 ,CUS009
IV2103354,I0110030,TEST 4350,40,12/04/2021, 252.20 ,CUS009
IV2103355,I0160001,TEST 4351,800,12/04/2021, 18.00 ,CUS006
IV2103355,I0160001,TEST 4352,800,12/04/2021, 18.00 ,CUS006
IV2103357,I0010015,TEST 4353,1,12/04/2021," 9,900.00 ",CUS025
IV2104005,I0060007,TEST 4354,1,12/04/2021," 2,100.00 ",CUS035
IV2104005,I0020005,TEST 4355,1,12/04/2021," 2,000.00 ",CUS035
IV2104005,I0060005,TEST 4356,1,12/04/2021," 4,800.00 ",CUS035
IV2104016,I0020005,TEST 4357,2,12/04/2021," 2,000.00 ",CUS025
IV2104038,I0060005,TEST 4358,5,12/04/2021," 4,800.00 ",CUS018
IV2104038,I0060004,TEST 4359,5,12/04/2021," 2,100.00 ",CUS018
IV2104038,I0020005,TEST 4360,5,12/04/2021," 2,000.00 ",CUS018
IV2104049,I0160001,TEST 4361,50,12/04/2021, 18.00 ,CUS009
IV2104062,I0170002,TEST 4362,1,12/04/2021," 83,000.00 ",CUS002
IV2104063,I0110029,TEST 4363,60,12/04/2021, 252.20 ,CUS009
IV2104063,I0110030,TEST 4364,60,12/04/2021, 252.20 ,CUS009
IV2104066,I0060012,TEST 4365,2,12/04/2021," 5,200.00 ",CUS007
IV2104081,I0110016,TEST 4366,1200,12/04/2021, 250.00 ,CUS003
IV2104082,I0160001,TEST 4367,500,12/04/2021, 18.00 ,CUS003
IV2104083,I0010001,TEST 4368,100,12/04/2021, 375.00 ,CUS003
IV2104095,I0160001,TEST 4369,100,12/04/2021, 18.00 ,CUS001
IV2104096,I0010015,TEST 4370,2,12/04/2021," 9,900.00 ",CUS060
IV2101222,I0020064,TEST 4371,1,16/04/2021," 1,100.00 ",CUS020
IV2101222,I0060012,TEST 4372,2,16/04/2021," 5,200.00 ",CUS020
IV2101222,I0020098,TEST 4373,16,16/04/2021, 100.00 ,CUS020
IV2101222,I0060012,TEST 4374,2,16/04/2021," 3,100.00 ",CUS020
IV2101222,I0020007,TEST 4375,1,16/04/2021," 1,000.00 ",CUS020
IV2101222,I0010573,TEST 4376,1,16/04/2021," 7,300.00 ",CUS020
IV2101222,I0010574,TEST 4377,1,16/04/2021," 1,900.00 ",CUS020
IV2101222,I0010575,TEST 4378,1,16/04/2021," 5,300.00 ",CUS020
IV2101222,I0020002,TEST 4379,12,16/04/2021, 70.00 ,CUS020
IV2101222,I0020099,TEST 4380,1,16/04/2021," 1,400.00 ",CUS020
IV2104108,I0160001,TEST 4381,75,16/04/2021, 18.00 ,CUS007
IV2104110,I0160001,TEST 4382,100,16/04/2021, 18.00 ,CUS007
IV2104111,I0160001,TEST 4383,100,16/04/2021, 18.00 ,CUS007
IV2104112,I0010015,TEST 4384,2,16/04/2021," 9,900.00 ",CUS007
IV2104112,I0010016,TEST 4385,2,16/04/2021," 7,200.00 ",CUS007
IV2104119,I0160001,TEST 4386,250,17/04/2021, 18.00 ,CUS010
IV2012126,I0100062,TEST 4387,1,19/04/2021," 18,620.00 ",CUS006
IV2012126,I0090018,TEST 4388,1,19/04/2021," 52,920.00 ",CUS006
IV2012205,I00005563,TEST 4389,4,19/04/2021," 10,500.00 ",CUS006
IV2101043,I0030048,TEST 4390,1,19/04/2021," 17,575.00 ",CUS013
IV2101101,I0020004,TEST 4391,2,19/04/2021," 14,200.00 ",CUS006
IV2101123,I0030003,TEST 4392,500,19/04/2021, 47.50 ,CUS013
IV2101124,I0010002,TEST 4393,1,19/04/2021," 58,520.00 ",CUS013
IV2101223,I0010007,TEST 4394,4,19/04/2021," 3,200.00 ",CUS005
IV2102020,I00001436,TEST 4395,1,19/04/2021," 3,100.00 ",CUS006
IV2102177,I00004552,TEST 4396,10,19/04/2021," 1,350.00 ",CUS001
IV2103036,I0160001,TEST 4397,50,19/04/2021, 18.00 ,CUS108
IV2104018,I0020005,TEST 4398,1,19/04/2021," 1,960.00 ",CUS006
IV2104020,I0070015,TEST 4399,1,19/04/2021," 57,624.00 ",CUS006
IV2104048,I0080100,TEST 4400,2,19/04/2021," 124,950.00 ",CUS003
IV2104100,I0060005,TEST 4401,1,19/04/2021," 4,609.92 ",CUS006
IV2104109,I0010048,TEST 4402,2,19/04/2021," 7,350.00 ",CUS006
IV2104109,I0060005,TEST 4403,1,19/04/2021," 4,704.00 ",CUS006
IV2104118,I0160001,TEST 4404,150,19/04/2021, 18.00 ,CUS001
IV2101238,I0060034,TEST 4405,2,20/04/2021," 133,950.00 ",CUS003
IV2101238,I0060035,TEST 4406,2,20/04/2021," 130,150.00 ",CUS003
IV2104034,I0110012,TEST 4407,525,20/04/2021, 32.00 ,CUS063
IV2104126,I0060039,TEST 4408,1,20/04/2021," 7,350.00 ",CUS006
IV2104127,I00008595,TEST 4409,1,20/04/2021," 1,100.00 ",CUS006
IV2104133,I0030027,TEST 4410,4,20/04/2021," 12,000.00 ",CUS006
IV2104136,I0060005,TEST 4411,2,20/04/2021," 4,800.00 ",CUS006
IV2104136,I0020005,TEST 4412,2,20/04/2021," 2,000.00 ",CUS006
IV2104136,I0010015,TEST 4413,4,20/04/2021," 9,900.00 ",CUS006
IV2104136,I0010016,TEST 4414,1,20/04/2021," 7,200.00 ",CUS006
IV2104137,I0060004,TEST 4415,2,20/04/2021," 2,100.00 ",CUS006
IV2101184,I0010054,TEST 4416,4,21/04/2021," 2,200.00 ",CUS003
IV2102084,I00000715,TEST 4417,1,21/04/2021," 2,700.00 ",CUS39
IV2102084,I00000725,TEST 4418,1,21/04/2021," 5,400.00 ",CUS39
IV2102084,I00000726,TEST 4419,2,21/04/2021," 7,500.00 ",CUS39
IV2102084,I00000727,TEST 4420,18,21/04/2021," 2,400.00 ",CUS39
IV2102084,I00000728,TEST 4421,3,21/04/2021," 1,000.00 ",CUS39
IV2102084,I00000729,TEST 4422,9,21/04/2021," 3,000.00 ",CUS39
IV2102084,I00000730,TEST 4423,6,21/04/2021," 5,550.00 ",CUS39
IV2102084,I00000731,TEST 4424,9,21/04/2021," 3,250.00 ",CUS39
IV2103002,I0030117,TEST 4425,2,21/04/2021," 3,500.00 ",CUS061
IV2104032,I0110012,TEST 4426,900,21/04/2021, 38.00 ,CUS108
IV2104051,I0110009,TEST 4427,500,21/04/2021, 45.00 ,CUS169
IV2104115,I0060004,TEST 4428,1,21/04/2021," 2,100.00 ",CUS025
IV2104138,I0110028,TEST 4429,8000,21/04/2021, 27.00 ,CUS152
IV2104141,I00006008,TEST 4430,2,21/04/2021," 5,000.00 ",CUS004
IV2104142,I00006006,TEST 4431,1,21/04/2021," 6,500.00 ",CUS004
IV2104142,I00006007,TEST 4432,1,21/04/2021," 4,500.00 ",CUS004
IV2104143,I0080020,TEST 4433,1,21/04/2021," 34,800.00 ",CUS004
IV2011247,I00004762,TEST 4434,4,22/04/2021," 77,500.00 ",CUS004
IV2012244,I00001884,TEST 4435,1,22/04/2021," 92,500.00 ",CUS006
IV2101105,I0020004,TEST 4436,2,22/04/2021," 13,500.00 ",CUS006
IV2101127,I00000513,TEST 4437,1,22/04/2021," 25,000.00 ",CUS006
IV2101127,I0070128,TEST 4438,1,22/04/2021," 38,500.00 ",CUS006
IV2101127,I0060153,TEST 4439,8,22/04/2021," 1,300.00 ",CUS006
IV2101127,I0010110,TEST 4440,8,22/04/2021," 1,100.00 ",CUS006
IV2101127,I0060032,TEST 4441,8,22/04/2021," 2,300.00 ",CUS006
IV2101127,I00004270,TEST 4442,8,22/04/2021, 150.00 ,CUS006
IV2101127,I00000514,TEST 4443,2,22/04/2021," 7,900.00 ",CUS006
IV2101127,I0040110,TEST 4444,4,22/04/2021," 14,000.00 ",CUS006
IV2101127,I0040111,TEST 4445,4,22/04/2021," 24,000.00 ",CUS006
IV2101127,I0010015,TEST 4446,6,22/04/2021," 1,600.00 ",CUS006
IV2101127,I0010061,TEST 4447,3,22/04/2021," 2,000.00 ",CUS006
IV2101127,I0010119,TEST 4448,3,22/04/2021, 400.00 ,CUS006
IV2101150,I0010061,TEST 4449,8,22/04/2021," 15,130.00 ",CUS013
IV2101150,I0060048,TEST 4450,48,22/04/2021, 935.00 ,CUS013
IV2101150,I00000849,TEST 4451,96,22/04/2021, 178.50 ,CUS013
IV2101230,I0050010,TEST 4452,2,22/04/2021," 27,550.00 ",CUS013
IV2102038,I0030001,TEST 4453,2,22/04/2021," 3,000.00 ",CUS001
IV2102048,I0010016,TEST 4454,2,22/04/2021," 6,840.00 ",CUS010
IV2102048,I0030004,TEST 4455,4,22/04/2021," 1,330.00 ",CUS010
IV2102048,I0060004,TEST 4456,2,22/04/2021," 1,995.00 ",CUS010
IV2102048,I0010001,TEST 4457,2,22/04/2021, 380.00 ,CUS010
IV2102048,I0030009,TEST 4458,2,22/04/2021, 475.00 ,CUS010
IV2102048,I0020005,TEST 4459,2,22/04/2021," 1,900.00 ",CUS010
IV2102048,I0060005,TEST 4460,2,22/04/2021," 4,560.00 ",CUS010
IV2102048,I0020005,TEST 4461,2,22/04/2021, 152.00 ,CUS010
IV2102048,I0010003,TEST 4462,9,22/04/2021," 11,400.00 ",CUS010
IV2102055,I0040001,TEST 4463,4,22/04/2021, 90.00 ,CUS001
IV2102057,I0010006,TEST 4464,6,22/04/2021," 22,500.00 ",CUS002
IV2102058,I0010006,TEST 4465,6,22/04/2021," 22,500.00 ",CUS002
IV2102060,I0010006,TEST 4466,6,22/04/2021," 22,500.00 ",CUS002
IV2102064,I0010002,TEST 4467,2,22/04/2021," 5,194.00 ",CUS006
IV2102072,I00002552,TEST 4468,1,22/04/2021, 500.00 ,CUS006
IV2102277,I00001904,TEST 4469,190,22/04/2021, 145.00 ,CUS006
IV2102277,I00001905,TEST 4470,430,22/04/2021, 115.00 ,CUS006
IV2103292,I0170003,TEST 4471,1,22/04/2021," 241,000.00 ",CUS002
IV2104104,I0110012,TEST 4472,250,22/04/2021, 45.00 ,CUS011
IV2104106,IM0020045,TEST 4473,40,22/04/2021, 345.00 ,CUS011
IV2104145,I0160001,TEST 4474,1800,22/04/2021, 13.00 ,CUS002
IV2104146,I0060005,TEST 4475,5,22/04/2021," 4,800.00 ",CUS001
IV2104149,I00006026,TEST 4476,1,22/04/2021," 23,500.00 ",CUS008
IV2104150,I0040032,TEST 4477,1,22/04/2021," 14,900.00 ",CUS008
IV2104151,I0090007,TEST 4478,1,22/04/2021," 11,600.00 ",CUS004
IV2104153,I0060040,TEST 4479,1,22/04/2021," 14,700.00 ",CUS006
IV2104154,I00006034,TEST 4480,1,22/04/2021," 25,000.00 ",CUS004
IV2104154,I00006035,TEST 4481,1,22/04/2021," 185,000.00 ",CUS004
IV2104154,I00006036,TEST 4482,1,22/04/2021," 6,700.00 ",CUS004
IV2104155,I00005984,TEST 4483,2,22/04/2021," 63,500.00 ",CUS004
IV2104155,I00005986,TEST 4484,2,22/04/2021," 16,800.00 ",CUS004
IV2010124,I0080204,TEST 4485,1,23/04/2021," 400,000.00 ",CUS031
IV2010125,I00005339,TEST 4486,1,23/04/2021," 143,000.00 ",CUS031
IV2010164,I00005510,TEST 4487,1,23/04/2021," 241,000.00 ",CUS054
IV2010164,I00005511,TEST 4488,1,23/04/2021," 27,000.00 ",CUS054
IV2011151,I00001375,TEST 4489,1,23/04/2021," 129,200.00 ",CUS013
IV2012060,I00000166,TEST 4490,1,23/04/2021," 85,100.00 ",CUS001
IV2012063,I00005658,TEST 4491,1,23/04/2021," 24,500.00 ",CUS001
IV2101125,I0030854,TEST 4492,3,23/04/2021," 2,660.00 ",CUS013
IV2101125,I00001641,TEST 4493,1,23/04/2021," 15,675.00 ",CUS013
IV2101125,I00001642,TEST 4494,1,23/04/2021," 16,625.00 ",CUS013
IV2101125,I00001673,TEST 4495,1,23/04/2021," 15,675.00 ",CUS013
IV2101180,I00000046,TEST 4496,1,23/04/2021," 76,000.00 ",CUS013
IV2101181,I00004181,TEST 4497,2,23/04/2021," 78,300.00 ",CUS013
IV2101181,I00004182,TEST 4498,2,23/04/2021," 64,890.00 ",CUS013
IV2101181,I00004183,TEST 4499,2,23/04/2021," 52,290.00 ",CUS013
IV2101181,I00004184,TEST 4500,4,23/04/2021," 47,070.00 ",CUS013
IV2101231,I00000691,TEST 4501,1,23/04/2021," 29,600.00 ",CUS001
IV2101269,I0030047,TEST 4502,1,23/04/2021," 35,200.00 ",CUS055
IV2102037,I00005593,TEST 4503,1,23/04/2021," 42,000.00 ",CUS001
IV2102042,I0010022,TEST 4504,6,23/04/2021," 2,090.00 ",CUS013
IV2102046,I0050085,TEST 4505,2,23/04/2021," 20,000.00 ",CUS001
IV2102059,I00005771,TEST 4506,1,23/04/2021," 6,700.00 ",CUS055
IV2102059,I00005772,TEST 4507,4,23/04/2021, 300.00 ,CUS055
IV2102059,I00002811,TEST 4508,2,23/04/2021," 3,500.00 ",CUS055
IV2102059,I00002812,TEST 4509,2,23/04/2021," 1,000.00 ",CUS055
IV2102059,I00002813,TEST 4510,2,23/04/2021," 1,700.00 ",CUS055
IV2102059,I00002814,TEST 4511,2,23/04/2021, 900.00 ,CUS055
IV2102059,I00002799,TEST 4512,2,23/04/2021," 33,200.00 ",CUS055
IV2102059,I00001893,TEST 4513,8,23/04/2021, 100.00 ,CUS055
IV2102070,I0010458,TEST 4514,1,23/04/2021," 94,000.00 ",CUS001
IV2102124,I0010458,TEST 4515,1,23/04/2021," 94,000.00 ",CUS001
IV2103088,I0010015,TEST 4516,6,23/04/2021," 9,405.00 ",CUS055
IV2103209,I0010015,TEST 4517,2,23/04/2021," 9,405.00 ",CUS055
IV2103209,I0010016,TEST 4518,8,23/04/2021," 6,840.00 ",CUS055
IV2103317,I0110006,TEST 4519,12000,23/04/2021, 27.15 ,CUS047
IV2103318,I0110012,TEST 4520,12000,23/04/2021, 25.75 ,CUS047
IV2104071,I0030006,TEST 4521,600,23/04/2021, 50.00 ,CUS054
IV2104103,II0020001,TEST 4522,1,23/04/2021," 399,500.00 ",CUS055
IV2104157,I0160001,TEST 4523,125,23/04/2021, 18.00 ,CUS146
IV2104164,I010047,TEST 4524,1,23/04/2021," 145,000.00 ",CUS054
IV2104167,I0020044,TEST 4525,2,23/04/2021, 420.00 ,CUS025
IV2104171,I0030005,TEST 4526,30,23/04/2021, 50.00 ,CUS075
IV2104171,I0050019,TEST 4527,2,23/04/2021," 6,000.00 ",CUS075
IV2104171,I0050018,TEST 4528,2,23/04/2021," 6,000.00 ",CUS075
IV2104171,I00005786,TEST 4529,1,23/04/2021," 155,100.00 ",CUS075
IV2104171,I0050059,TEST 4530,8,23/04/2021," 4,000.00 ",CUS075
IV2104171,I0030417,TEST 4531,8,23/04/2021, 550.00 ,CUS075
IV2104171,I0030004,TEST 4532,305,23/04/2021, 50.00 ,CUS075
IV2104179,I0010062,TEST 4533,1,23/04/2021," 17,385.00 ",CUS013
IV2104179,I0010063,TEST 4534,1,23/04/2021," 17,385.00 ",CUS013
IV2104180,I0060021,TEST 4535,1,23/04/2021," 11,000.00 ",CUS022
IV2104180,I0060044,TEST 4536,1,23/04/2021," 8,100.00 ",CUS022
IV2101167,I0010010,TEST 4537,1,26/04/2021," 2,200.00 ",CUS006
IV2101199,I0070006,TEST 4538,1,26/04/2021," 6,000.00 ",CUS006
IV2101199,I0070005,TEST 4539,1,26/04/2021," 6,000.00 ",CUS006
IV2101201,I00004887,TEST 4540,2,26/04/2021," 44,500.00 ",CUS006
IV2101216,IM0040002,TEST 4541,1,26/04/2021," 45,000.00 ",CUS004
IV2101216,I0030008,TEST 4542,2,26/04/2021," 10,300.00 ",CUS004
IV2101216,I0030006,TEST 4543,366,26/04/2021, 47.00 ,CUS004
IV2101225,I0070036,TEST 4544,1,26/04/2021," 1,300.00 ",CUS006
IV2101234,I0020038,TEST 4545,1,26/04/2021," 6,400.00 ",CUS006
IV2101276,I0140004,TEST 4546,1,26/04/2021," 8,800.00 ",CUS006
IV2102066,I0010001,TEST 4547,8,26/04/2021," 6,700.00 ",CUS004
IV2102123,I0050072,TEST 4548,1,26/04/2021," 8,192.80 ",CUS006
IV2102176,I00005789,TEST 4549,1,26/04/2021," 20,000.00 ",CUS006
IV2103149,I00000786,TEST 4550,1,26/04/2021," 6,585.00 ",CUS055
IV2103149,I0010702,TEST 4551,2,26/04/2021," 18,650.00 ",CUS055
IV2103149,I0010703,TEST 4552,2,26/04/2021," 32,900.00 ",CUS055
IV2103149,I0010704,TEST 4553,2,26/04/2021," 31,475.00 ",CUS055
IV2103149,I0010705,TEST 4554,2,26/04/2021," 20,550.00 ",CUS055
IV2103149,I0010706,TEST 4555,1,26/04/2021," 22,925.00 ",CUS055
IV2103149,I0010707,TEST 4556,1,26/04/2021," 19,125.00 ",CUS055
IV2103149,I0010708,TEST 4557,1,26/04/2021," 31,950.00 ",CUS055
IV2103149,I0010709,TEST 4558,2,26/04/2021," 32,900.00 ",CUS055
IV2104099,I0010015,TEST 4559,3,26/04/2021," 6,762.00 ",CUS006
IV2104161,IM0080004,TEST 4560,1,26/04/2021," 40,000.00 ",CUS054
IV2104170,I0020005,TEST 4561,2,26/04/2021," 1,960.00 ",CUS006
IV2104170,I0060005,TEST 4562,2,26/04/2021," 4,609.92 ",CUS006
IV2104190,I0010782,TEST 4563,2,26/04/2021," 1,800.00 ",CUS018
IV2104198,I00001602,TEST 4564,2,26/04/2021," 9,900.00 ",CUS006
IV2104207,I00005529,TEST 4565,1,27/04/2021," 2,900.00 ",CUS006
IV2104207,I00005530,TEST 4566,1,27/04/2021," 1,400.00 ",CUS006
IV2104207,I00005531,TEST 4567,1,27/04/2021," 1,800.00 ",CUS006
